"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Todoist API for Create New User Endpoint","Create a new label with valid json request","SUCCESS","2023-01-19T19:40:18.038+07:00[Asia/Bangkok]","0.0","3.97"
"Testing Todoist API for Create New User Endpoint","Create a new label with invalid json","SUCCESS","2023-01-19T19:40:22.022+07:00[Asia/Bangkok]","0.0","1.11"
"Testing Todoist API for Create New User Endpoint","Create a new label with empty name","SUCCESS","2023-01-19T19:40:23.132+07:00[Asia/Bangkok]","0.0","0.43"
"Testing Todoist API for Create New User Endpoint","Create a new label with invalid token","SUCCESS","2023-01-19T19:40:23.566+07:00[Asia/Bangkok]","0.0","0.45"
"Testing todoist API for Delete a Label endpoint","Delete a label with valid id","SUCCESS","2023-01-19T19:40:24.033+07:00[Asia/Bangkok]","0.0","0.56"
"Testing todoist API for Delete a Label endpoint","Delete a label with unauthorized token","SUCCESS","2023-01-19T19:40:25.154+07:00[Asia/Bangkok]","0.0","0.89"
"Testing Todoist API for Get a Label endpoint","Get a label with valid id","SUCCESS","2023-01-19T19:40:26.045+07:00[Asia/Bangkok]","0.0","0.47"
"Testing Todoist API for Get a Label endpoint","Get a label with invalid id","SUCCESS","2023-01-19T19:40:26.52+07:00[Asia/Bangkok]","0.0","0.46"
"Testing Todoist API for Get a Label endpoint","Get a label with unauthorized token","SUCCESS","2023-01-19T19:40:26.983+07:00[Asia/Bangkok]","0.0","0.48"
"Testing Todoist API for Get All Label endpoint","Get all labels with valid token","SUCCESS","2023-01-19T19:40:27.474+07:00[Asia/Bangkok]","0.0","0.89"
"Testing Todoist API for Get All Label endpoint","Get all labels with unauthorized token","SUCCESS","2023-01-19T19:40:28.365+07:00[Asia/Bangkok]","0.0","0.44"
"Testing Todoist API for Get All Shared Labels endpoint","Get all shared labels with valid token","SUCCESS","2023-01-19T19:40:28.813+07:00[Asia/Bangkok]","0.0","0.95"
"Testing Todoist API for Get All Shared Labels endpoint","Get all shared labels with unauthorized token","SUCCESS","2023-01-19T19:40:29.765+07:00[Asia/Bangkok]","0.0","0.43"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with valid label","SUCCESS","2023-01-19T19:40:30.202+07:00[Asia/Bangkok]","0.0","0.48"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with unauthorized token","SUCCESS","2023-01-19T19:40:31.203+07:00[Asia/Bangkok]","0.0","0.46"
"Testing todoist API for Reopen a Task endpoint","Reopen a task with valid id","SUCCESS","2023-01-19T19:40:31.665+07:00[Asia/Bangkok]","0.0","0.59"
"Testing todoist API for Reopen a Task endpoint","Reopen a task with invalid id","SUCCESS","2023-01-19T19:40:32.256+07:00[Asia/Bangkok]","0.0","0.92"
"Testing todoist API for Reopen a Task endpoint","Reopen a task with unauthorized token","SUCCESS","2023-01-19T19:40:33.177+07:00[Asia/Bangkok]","0.0","0.9"
