"Story","Title","Result","Date","Stability","Duration (s)"
"Delete a comment","Delete a comment with valid id","SUCCESS","2023-01-20T13:01:01.095+07:00[Asia/Bangkok]","0.0","3.81"
"Delete a comment","Delete a comment without authentication","SUCCESS","2023-01-20T13:01:06.015+07:00[Asia/Bangkok]","0.0","1.1"
"Delete a comment","Delete a comment with invalid path","SUCCESS","2023-01-20T13:01:08.165+07:00[Asia/Bangkok]","0.0","1.11"
"Get all comments","Get all comments with valid project id","SUCCESS","2023-01-20T13:01:09.281+07:00[Asia/Bangkok]","0.0","1.47"
"Get all comments","Get all comments with invalid project id","SUCCESS","2023-01-20T13:01:10.756+07:00[Asia/Bangkok]","0.0","0.91"
"Get all comments","Get all comments without project id","SUCCESS","2023-01-20T13:01:11.667+07:00[Asia/Bangkok]","0.0","1.03"
"Get all comments","Get all comments without authentication","SUCCESS","2023-01-20T13:01:12.701+07:00[Asia/Bangkok]","0.0","0.95"
"Get all comments","Get all comments with invalid path","SUCCESS","2023-01-20T13:01:13.655+07:00[Asia/Bangkok]","0.0","0.9"
"Get a comment","Get a comment with valid parameter","SUCCESS","2023-01-20T13:01:14.569+07:00[Asia/Bangkok]","0.0","1.02"
"Get a comment","Get a comment with invalid parameter","SUCCESS","2023-01-20T13:01:15.596+07:00[Asia/Bangkok]","0.0","1.03"
"Get a comment","Get a comment without parameter","SUCCESS","2023-01-20T13:01:16.629+07:00[Asia/Bangkok]","0.0","1.06"
"Get a comment","Get a comment without authentication","SUCCESS","2023-01-20T13:01:17.694+07:00[Asia/Bangkok]","0.0","0.99"
"Get a comment","Get a comments with invalid path","SUCCESS","2023-01-20T13:01:18.684+07:00[Asia/Bangkok]","0.0","0.92"
"Create new comment","Post create new comment with valid json","SUCCESS","2023-01-20T13:01:19.618+07:00[Asia/Bangkok]","0.0","1.29"
"Create new comment","Post create new comment with invalid path","SUCCESS","2023-01-20T13:01:20.912+07:00[Asia/Bangkok]","0.0","0.49"
"Create new comment","Post create new comment without authentication","SUCCESS","2023-01-20T13:01:21.406+07:00[Asia/Bangkok]","0.0","1.23"
"Create new comment","Post create new comment with empty json key","SUCCESS","2023-01-20T13:01:22.642+07:00[Asia/Bangkok]","0.0","0.99"
"Create new comment","Post create new comment with invalid json","SUCCESS","2023-01-20T13:01:23.64+07:00[Asia/Bangkok]","0.0","0.97"
"Update a comment","Update a comment with valid id","SUCCESS","2023-01-20T13:01:24.621+07:00[Asia/Bangkok]","0.0","1.02"
"Update a comment","Update a comment with invalid id","SUCCESS","2023-01-20T13:01:25.641+07:00[Asia/Bangkok]","0.0","0.43"
"Update a comment","Update a comment without authentication","SUCCESS","2023-01-20T13:01:26.071+07:00[Asia/Bangkok]","0.0","0.98"
"Update a comment","Update a comment with invalid json","SUCCESS","2023-01-20T13:01:27.054+07:00[Asia/Bangkok]","0.0","1.03"
"Update a comment","Update a comment with empty json key","SUCCESS","2023-01-20T13:01:28.09+07:00[Asia/Bangkok]","0.0","0.44"
"Update a comment","Update a comment with invalid path","SUCCESS","2023-01-20T13:01:28.53+07:00[Asia/Bangkok]","0.0","1.01"
"Testing Todoist API for Create New User Endpoint","Create a new label with valid json request","SUCCESS","2023-01-20T13:01:29.544+07:00[Asia/Bangkok]","0.0","0.99"
"Testing Todoist API for Create New User Endpoint","Create a new label with invalid json","SUCCESS","2023-01-20T13:01:30.539+07:00[Asia/Bangkok]","0.0","0.92"
"Testing Todoist API for Create New User Endpoint","Create a new label with empty name","SUCCESS","2023-01-20T13:01:31.461+07:00[Asia/Bangkok]","0.0","0.41"
"Testing Todoist API for Create New User Endpoint","Create a new label with invalid token","SUCCESS","2023-01-20T13:01:31.87+07:00[Asia/Bangkok]","0.0","0.95"
"Testing todoist API for Delete a Label endpoint","Delete a label with valid id","SUCCESS","2023-01-20T13:01:32.84+07:00[Asia/Bangkok]","0.0","0.51"
"Testing todoist API for Delete a Label endpoint","Delete a label with unauthorized token","SUCCESS","2023-01-20T13:01:34.31+07:00[Asia/Bangkok]","0.0","0.95"
"Testing Todoist API for Get a Label endpoint","Get a label with valid id","SUCCESS","2023-01-20T13:01:35.262+07:00[Asia/Bangkok]","0.0","1.0"
"Testing Todoist API for Get a Label endpoint","Get a label with invalid id","SUCCESS","2023-01-20T13:01:36.264+07:00[Asia/Bangkok]","0.0","0.43"
"Testing Todoist API for Get a Label endpoint","Get a label with unauthorized token","SUCCESS","2023-01-20T13:01:36.7+07:00[Asia/Bangkok]","0.0","1.04"
"Testing Todoist API for Get All Label endpoint","Get all labels with valid token","SUCCESS","2023-01-20T13:01:37.759+07:00[Asia/Bangkok]","0.0","1.02"
"Testing Todoist API for Get All Label endpoint","Get all labels with unauthorized token","SUCCESS","2023-01-20T13:01:38.786+07:00[Asia/Bangkok]","0.0","0.43"
"Testing Todoist API for Get All Shared Labels endpoint","Get all shared labels with valid token","SUCCESS","2023-01-20T13:01:39.222+07:00[Asia/Bangkok]","0.0","0.52"
"Testing Todoist API for Get All Shared Labels endpoint","Get all shared labels with unauthorized token","SUCCESS","2023-01-20T13:01:39.746+07:00[Asia/Bangkok]","0.0","0.46"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with valid label","SUCCESS","2023-01-20T13:01:40.212+07:00[Asia/Bangkok]","0.0","0.42"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with unauthorized token","SUCCESS","2023-01-20T13:01:41.148+07:00[Asia/Bangkok]","0.0","0.88"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with valid label","SUCCESS","2023-01-20T13:01:42.034+07:00[Asia/Bangkok]","0.0","0.89"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with invalid token","SUCCESS","2023-01-20T13:01:43.959+07:00[Asia/Bangkok]","0.0","1.02"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with empty json","SUCCESS","2023-01-20T13:01:44.989+07:00[Asia/Bangkok]","0.0","0.52"
"Testing Todoist API for Update a Label endpoint","Update a label with valid id","SUCCESS","2023-01-20T13:01:45.511+07:00[Asia/Bangkok]","0.0","1.03"
"Testing Todoist API for Update a Label endpoint","Update a label with invalid id","SUCCESS","2023-01-20T13:01:46.546+07:00[Asia/Bangkok]","0.0","0.46"
"Testing Todoist API for Update a Label endpoint","Update a label with unauthorized token","SUCCESS","2023-01-20T13:01:47.007+07:00[Asia/Bangkok]","0.0","0.5"
"Testing Todoist API for Update a Label endpoint","Update a label with invalid json","SUCCESS","2023-01-20T13:01:47.51+07:00[Asia/Bangkok]","0.0","0.43"
"Testing Todoist API for Update a Label endpoint","Update a label with empty json","SUCCESS","2023-01-20T13:01:47.939+07:00[Asia/Bangkok]","0.0","1.02"
"Close a task","Close a task with valid id","SUCCESS","2023-01-20T13:01:48.963+07:00[Asia/Bangkok]","0.0","0.48"
"Close a task","Close a task with invalid id","SUCCESS","2023-01-20T13:01:49.45+07:00[Asia/Bangkok]","0.0","0.94"
"Close a task","Close a task without authentication","SUCCESS","2023-01-20T13:01:50.391+07:00[Asia/Bangkok]","0.0","0.88"
"Close a task","Close a task with invalid path","SUCCESS","2023-01-20T13:01:51.275+07:00[Asia/Bangkok]","0.0","0.99"
"Get an active task","Get an active task with valid id","SUCCESS","2023-01-20T13:01:52.281+07:00[Asia/Bangkok]","0.0","1.0"
