"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Todoist API for Create New Label Endpoint","Create a new label with valid json request","SUCCESS","2023-01-20T16:38:03.281+07:00[Asia/Bangkok]","0.0","1.12"
"Testing Todoist API for Create New Label Endpoint","Create a new label with invalid json","SUCCESS","2023-01-20T16:38:04.406+07:00[Asia/Bangkok]","0.0","0.42"
"Testing Todoist API for Create New Label Endpoint","Create a new label with empty name","SUCCESS","2023-01-20T16:38:04.826+07:00[Asia/Bangkok]","0.0","0.49"
"Testing Todoist API for Create New Label Endpoint","Create a new label with invalid token","SUCCESS","2023-01-20T16:38:05.32+07:00[Asia/Bangkok]","0.0","0.44"
"Testing todoist API for Delete a Label endpoint","Delete a label with valid id","SUCCESS","2023-01-20T16:38:05.77+07:00[Asia/Bangkok]","0.0","1.01"
"Testing todoist API for Delete a Label endpoint","Delete a label with invalid id","FAILURE","2023-01-20T16:38:06.786+07:00[Asia/Bangkok]","0.0","0.87"
"Testing todoist API for Delete a Label endpoint","Delete a label with unauthorized token","SUCCESS","2023-01-20T16:38:07.658+07:00[Asia/Bangkok]","0.0","0.44"
"Testing Todoist API for Get a Label endpoint","Get a label with valid id","SUCCESS","2023-01-20T16:38:08.106+07:00[Asia/Bangkok]","0.0","0.92"
"Testing Todoist API for Get a Label endpoint","Get a label with invalid id","SUCCESS","2023-01-20T16:38:09.03+07:00[Asia/Bangkok]","0.0","0.89"
"Testing Todoist API for Get a Label endpoint","Get a label with unauthorized token","SUCCESS","2023-01-20T16:38:09.922+07:00[Asia/Bangkok]","0.0","0.95"
"Testing Todoist API for Get All Label endpoint","Get all labels with valid token","SUCCESS","2023-01-20T16:38:10.884+07:00[Asia/Bangkok]","0.0","0.99"
"Testing Todoist API for Get All Label endpoint","Get all labels with unauthorized token","SUCCESS","2023-01-20T16:38:11.877+07:00[Asia/Bangkok]","0.0","0.45"
"Testing Todoist API for Get All Shared Labels endpoint","Get all shared labels with valid token","SUCCESS","2023-01-20T16:38:12.334+07:00[Asia/Bangkok]","0.0","0.46"
"Testing Todoist API for Get All Shared Labels endpoint","Get all shared labels with unauthorized token","SUCCESS","2023-01-20T16:38:12.801+07:00[Asia/Bangkok]","0.0","0.41"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with valid label","SUCCESS","2023-01-20T16:38:13.225+07:00[Asia/Bangkok]","0.0","0.49"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with invalid label","FAILURE","2023-01-20T16:38:13.721+07:00[Asia/Bangkok]","0.0","0.89"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with unauthorized token","SUCCESS","2023-01-20T16:38:14.62+07:00[Asia/Bangkok]","0.0","0.87"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with valid label","SUCCESS","2023-01-20T16:38:15.49+07:00[Asia/Bangkok]","0.0","0.48"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with invalid label","FAILURE","2023-01-20T16:38:15.973+07:00[Asia/Bangkok]","0.0","0.9"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with invalid token","SUCCESS","2023-01-20T16:38:16.879+07:00[Asia/Bangkok]","0.0","0.45"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with empty json","SUCCESS","2023-01-20T16:38:17.331+07:00[Asia/Bangkok]","0.0","0.46"
"Testing Todoist API for Update a Label endpoint","Update a label with valid id","SUCCESS","2023-01-20T16:38:17.795+07:00[Asia/Bangkok]","0.0","0.47"
"Testing Todoist API for Update a Label endpoint","Update a label with invalid id","SUCCESS","2023-01-20T16:38:18.267+07:00[Asia/Bangkok]","0.0","0.93"
"Testing Todoist API for Update a Label endpoint","Update a label with unauthorized token","SUCCESS","2023-01-20T16:38:19.204+07:00[Asia/Bangkok]","0.0","0.49"
"Testing Todoist API for Update a Label endpoint","Update a label with invalid json","SUCCESS","2023-01-20T16:38:19.697+07:00[Asia/Bangkok]","0.0","0.84"
"Testing Todoist API for Update a Label endpoint","Update a label with empty json","SUCCESS","2023-01-20T16:38:20.545+07:00[Asia/Bangkok]","0.0","0.48"
