"Story","Title","Result","Date","Stability","Duration (s)"
"Delete a comment","Delete a comment with valid id","SUCCESS","2023-01-20T13:01:01.095+07:00[Asia/Bangkok]","0.0","3.81"
"Delete a comment","Delete a comment without authentication","SUCCESS","2023-01-20T13:01:06.015+07:00[Asia/Bangkok]","0.0","1.1"
"Delete a comment","Delete a comment with invalid path","SUCCESS","2023-01-20T13:01:08.165+07:00[Asia/Bangkok]","0.0","1.11"
"Get all comments","Get all comments with valid project id","SUCCESS","2023-01-20T13:01:09.281+07:00[Asia/Bangkok]","0.0","1.47"
"Get all comments","Get all comments with invalid project id","SUCCESS","2023-01-20T13:01:10.756+07:00[Asia/Bangkok]","0.0","0.91"
"Get all comments","Get all comments without project id","SUCCESS","2023-01-20T13:01:11.667+07:00[Asia/Bangkok]","0.0","1.03"
"Get all comments","Get all comments without authentication","SUCCESS","2023-01-20T13:01:12.701+07:00[Asia/Bangkok]","0.0","0.95"
"Get all comments","Get all comments with invalid path","SUCCESS","2023-01-20T13:01:13.655+07:00[Asia/Bangkok]","0.0","0.9"
"Get a comment","Get a comment with valid parameter","SUCCESS","2023-01-20T13:01:14.569+07:00[Asia/Bangkok]","0.0","1.02"
"Get a comment","Get a comment with invalid parameter","SUCCESS","2023-01-20T13:01:15.596+07:00[Asia/Bangkok]","0.0","1.03"
"Get a comment","Get a comment without parameter","SUCCESS","2023-01-20T13:01:16.629+07:00[Asia/Bangkok]","0.0","1.06"
"Get a comment","Get a comment without authentication","SUCCESS","2023-01-20T13:01:17.694+07:00[Asia/Bangkok]","0.0","0.99"
"Get a comment","Get a comments with invalid path","SUCCESS","2023-01-20T13:01:18.684+07:00[Asia/Bangkok]","0.0","0.92"
"Create new comment","Post create new comment with valid json","SUCCESS","2023-01-20T13:01:19.618+07:00[Asia/Bangkok]","0.0","1.29"
"Create new comment","Post create new comment with invalid path","SUCCESS","2023-01-20T13:01:20.912+07:00[Asia/Bangkok]","0.0","0.49"
"Create new comment","Post create new comment without authentication","SUCCESS","2023-01-20T13:01:21.406+07:00[Asia/Bangkok]","0.0","1.23"
"Create new comment","Post create new comment with empty json key","SUCCESS","2023-01-20T13:01:22.642+07:00[Asia/Bangkok]","0.0","0.99"
"Create new comment","Post create new comment with invalid json","SUCCESS","2023-01-20T13:01:23.64+07:00[Asia/Bangkok]","0.0","0.97"
"Update a comment","Update a comment with valid id","SUCCESS","2023-01-20T13:01:24.621+07:00[Asia/Bangkok]","0.0","1.02"
"Update a comment","Update a comment with invalid id","SUCCESS","2023-01-20T13:01:25.641+07:00[Asia/Bangkok]","0.0","0.43"
"Update a comment","Update a comment without authentication","SUCCESS","2023-01-20T13:01:26.071+07:00[Asia/Bangkok]","0.0","0.98"
"Update a comment","Update a comment with invalid json","SUCCESS","2023-01-20T13:01:27.054+07:00[Asia/Bangkok]","0.0","1.03"
"Update a comment","Update a comment with empty json key","SUCCESS","2023-01-20T13:01:28.09+07:00[Asia/Bangkok]","0.0","0.44"
"Update a comment","Update a comment with invalid path","SUCCESS","2023-01-20T13:01:28.53+07:00[Asia/Bangkok]","0.0","1.01"
